age,gender,employment_status,state_of_residence,total_monthly_inflow,total_monthly_outflow,transaction_frequency,salary_payment_detected,end_of_month_balance,highest_credit_amount,highest_debit_amount,gambling_transactions_count,loan_related_transactions_count,previous_loan_taken,previous_loan_amount,repayment_status,missed_payment_count,airtime_spend_per_month,data_subscription_spend,loan_defaulted
46,Female,Employed,Akwa Ibom,191390,112560,44,Yes,121529,69843,52957,0,0,No,0,N/A,0,1707,6397,1
33,Female,Employed,Delta,456077,323182,49,Yes,163013,307286,174628,1,0,No,0,N/A,0,5797,894,0
28,Female,Self-employed,Katsina,294202,215738,28,No,115513,114134,63460,1,1,No,0,N/A,0,5727,4964,0
43,Female,Employed,Edo,350582,255204,59,Yes,141768,218399,74813,0,0,No,0,N/A,0,4943,2351,0
30,Male,Unemployed,Plateau,44768,34968,7,No,59084,19972,11117,2,1,Yes,124130,Late,0,832,6238,1
27,Male,Employed,Kano,453570,245919,38,Yes,401949,238778,142211,0,0,No,0,N/A,0,1626,8173,0
47,Female,Self-employed,Bauchi,247974,213038,21,No,46298,90550,97437,0,1,Yes,492455,Late,0,6693,1216,0
37,Female,Self-employed,Ogun,466100,351075,57,Yes,121780,245999,195334,0,0,Yes,1793313,Late,0,5001,2364,1
33,Male,Self-employed,Cross River,319002,232089,30,No,175823,196287,86350,0,1,Yes,1017241,On-time,0,6138,2679,0
31,Male,Self-employed,Enugu,120452,62252,47,No,126439,91074,28217,0,1,Yes,554714,On-time,0,5745,2101,0
26,Male,Unemployed,Imo,29831,25791,40,No,19616,18678,9338,1,2,Yes,118733,On-time,0,3511,6302,0
29,Male,Employed,Enugu,383335,279433,36,Yes,214419,267397,71059,0,0,No,0,N/A,0,2986,2452,0
33,Female,Employed,Oyo,282679,202872,52,Yes,100207,223511,91672,0,2,Yes,870878,On-time,0,2867,7494,0
27,Male,Employed,Enugu,349106,248122,46,Yes,201243,228417,122261,0,0,No,0,N/A,0,3080,1760,0
45,Male,Employed,Ogun,431868,388355,5,Yes,69867,305774,144789,0,2,Yes,2151546,On-time,0,5852,5685,0
24,Male,Self-employed,Delta,70505,37796,62,No,69549,21739,20765,0,0,No,0,N/A,0,2533,2990,0
22,Male,Self-employed,Ogun,54377,40235,35,Yes,187426,39798,14593,0,0,No,0,N/A,0,2872,6245,1
26,Female,Employed,Bauchi,314061,246392,35,Yes,104982,163734,121443,0,0,Yes,679971,On-time,1,4712,8784,0
36,Male,Employed,Abuja,514410,402847,41,Yes,128186,377322,188414,0,1,No,0,N/A,0,2641,500,0
30,Female,Self-employed,Kaduna,50000,32073,5,No,202943,35020,12202,0,0,Yes,229674,On-time,0,3532,12914,1
25,Male,Unemployed,Imo,68457,63928,32,No,3515,38782,28934,1,2,No,0,N/A,0,1850,5373,1
36,Male,Employed,Enugu,213433,182612,66,Yes,45742,81591,66202,3,1,No,0,N/A,0,4395,6202,0
37,Female,Employed,Kano,164773,106517,49,Yes,97962,129003,28750,0,0,Yes,698662,On-time,1,5645,2112,0
26,Female,Unemployed,Oyo,85843,74653,38,No,5208,36409,44433,4,0,Yes,252974,Late,1,5795,8390,1
30,Female,Self-employed,Katsina,162601,90825,10,No,95313,120275,53245,0,0,Yes,440299,On-time,1,5902,6580,0
31,Male,Employed,Osun,426523,218045,54,Yes,340536,193837,75768,0,1,Yes,2068063,On-time,0,3203,8729,0
35,Female,Employed,Oyo,336154,361158,58,Yes,0,115538,207520,5,2,Yes,1723688,Late,1,2783,6777,1
33,Female,Unemployed,Oyo,62438,44329,34,No,29854,35514,19075,0,1,Yes,263847,Late,2,4075,4179,1
35,Male,Employed,Cross River,80000,49979,66,Yes,63019,51377,20055,0,0,No,0,N/A,0,3823,9765,0
36,Female,Employed,Borno,370206,304540,33,Yes,77740,289193,124053,0,1,Yes,505143,Late,0,1269,7104,0
40,Male,Employed,Delta,350242,214957,41,Yes,290910,128270,90016,1,1,No,0,N/A,0,2263,5293,0
37,Female,Self-employed,Kano,237535,170714,28,No,110023,156772,41050,1,0,Yes,977620,On-time,0,6368,3230,0
40,Male,Self-employed,Akwa Ibom,420611,367923,20,No,63394,308433,160940,3,1,Yes,687931,Late,2,1633,4241,1
31,Male,Self-employed,Bauchi,282732,198946,20,No,272295,157413,115410,0,0,No,0,N/A,0,500,7347,0
37,Female,Unemployed,Katsina,27141,23595,5,No,45983,13618,7864,0,1,No,0,N/A,0,9510,4083,1
35,Male,Self-employed,Akwa Ibom,50000,26335,32,No,86657,38732,8480,1,0,No,0,N/A,0,3699,1207,0
37,Male,Unemployed,Katsina,10000,10000,46,No,48448,4886,3032,1,0,Yes,22173,On-time,0,7165,4227,1
42,Male,Employed,Akwa Ibom,341458,236960,29,Yes,185469,198683,66820,0,1,Yes,1608259,On-time,0,4614,4256,0
18,Female,Unemployed,Plateau,78828,57176,30,No,34685,43080,13309,1,0,Yes,156071,On-time,0,5360,4403,0
18,Female,Employed,Anambra,500989,549725,54,Yes,0,318643,121384,4,0,Yes,785666,Late,5,5175,6859,1
41,Male,Employed,Cross River,279725,166154,23,Yes,269706,159395,38380,0,0,No,0,N/A,0,5371,4575,0
36,Male,Employed,Bauchi,80000,42168,27,Yes,215499,55326,11269,0,0,No,0,N/A,0,500,12647,0
29,Female,Self-employed,Imo,492682,349836,70,No,150676,193955,74510,0,0,Yes,2323864,On-time,0,2645,6246,0
32,Male,Employed,Katsina,193019,114475,22,Yes,144383,105094,41550,0,0,No,0,N/A,0,2931,5452,0
36,Female,Employed,Bauchi,739146,401137,52,Yes,393593,339570,175456,0,1,No,0,N/A,0,3369,4285,0
37,Male,Employed,Borno,238315,127833,28,Yes,256019,148089,65590,0,0,Yes,1355394,On-time,0,2295,6426,0
31,Male,Self-employed,Cross River,141081,124716,59,No,50626,48702,72228,0,2,Yes,323468,Late,1,1973,500,1
35,Male,Employed,Lagos,311876,183282,20,Yes,287705,218807,47903,0,0,No,0,N/A,0,1246,648,0
32,Male,Self-employed,Imo,117730,69658,44,No,87116,72298,17313,0,0,No,0,N/A,0,6664,500,0
36,Male,Employed,Kaduna,286778,249103,18,Yes,71664,179340,136191,1,0,Yes,1568637,On-time,1,7327,5915,0
49,Female,Self-employed,Kano,360530,245170,27,No,150864,191767,66095,0,0,Yes,968882,On-time,0,3897,4259,0
29,Female,Employed,Kano,495432,274402,42,Yes,262716,359568,72070,0,0,No,0,N/A,0,4778,5002,0
40,Female,Self-employed,Rivers,50000,36604,54,No,45208,28735,15972,0,0,No,0,N/A,0,1481,7361,0
35,Female,Employed,Anambra,423339,271217,28,No,309315,278050,76755,0,1,No,0,N/A,0,6117,5594,0
24,Male,Unemployed,Edo,25971,24603,32,No,1061,11943,13463,3,2,Yes,140405,Late,2,2688,4292,1
27,Male,Employed,Borno,305831,297058,56,Yes,6044,150218,112065,0,4,Yes,881084,Late,2,4878,500,1
33,Male,Employed,Delta,656453,372445,39,Yes,353962,503306,182279,1,0,Yes,2550932,On-time,0,3557,5208,0
37,Male,Self-employed,Imo,50000,26018,45,No,78783,38768,9457,0,1,No,0,N/A,0,2685,4853,1
29,Male,Employed,Ogun,471205,255420,22,Yes,269973,249906,80332,0,0,Yes,1054233,On-time,0,6688,8879,0
18,Male,Employed,Bauchi,324022,241396,30,Yes,209952,212191,48989,0,0,Yes,1163572,On-time,0,4153,3464,0
32,Female,Employed,Kano,373298,192705,40,Yes,284423,156830,74754,0,0,Yes,1223419,On-time,0,500,8142,0
37,Female,Employed,Cross River,423659,247667,49,Yes,364386,320330,70272,0,0,Yes,507157,On-time,0,5462,6615,0
38,Female,Employed,Plateau,677764,433303,24,Yes,398135,298137,184578,0,0,No,0,N/A,0,3659,2561,0
22,Female,Unemployed,Borno,10000,10000,34,No,43562,6421,5529,0,1,No,0,N/A,0,4683,4186,0
37,Female,Self-employed,Imo,407683,208711,35,No,282373,296909,74806,1,0,No,0,N/A,0,3329,976,0
36,Male,Employed,Akwa Ibom,354709,265000,59,Yes,193458,116741,80801,0,0,No,0,N/A,0,1642,4340,0
32,Male,Self-employed,Bauchi,316152,277052,36,No,67283,217299,117707,1,2,Yes,1189844,On-time,1,533,5664,1
35,Female,Employed,Bauchi,423787,263194,35,Yes,192041,244035,141187,0,0,No,0,N/A,0,5253,4168,0
40,Male,Employed,Katsina,275041,161400,33,Yes,181382,176863,93533,0,1,Yes,643660,On-time,0,2466,5204,0
50,Male,Employed,Delta,387248,398280,36,Yes,0,216303,98305,4,4,Yes,1409926,Late,3,4493,2014,1
29,Female,Unemployed,Cross River,79351,75058,34,No,2198,52161,33139,3,0,Yes,197951,On-time,3,1238,3691,1
29,Female,Employed,Rivers,453374,249488,24,Yes,238297,243564,50892,0,1,Yes,645527,Late,0,5177,7000,0
37,Male,Self-employed,Lagos,373690,321304,41,No,80267,155623,172903,2,0,No,0,N/A,0,3110,3325,0
31,Female,Employed,Imo,286265,248570,50,Yes,67652,214932,141803,2,0,No,0,N/A,0,5596,1469,0
22,Female,Employed,Osun,166673,116878,41,Yes,243914,72385,46509,0,0,No,0,N/A,0,4239,2487,0
25,Female,Unemployed,Oyo,10000,10000,24,No,0,3042,5044,0,0,Yes,45650,Late,2,2992,4548,1
35,Female,Employed,Kwara,396484,289817,15,Yes,127695,257122,122895,2,2,Yes,1162615,On-time,1,7107,500,1
25,Female,Employed,Bauchi,231878,148919,14,Yes,261666,178766,73837,0,0,No,0,N/A,0,4508,3134,0
34,Male,Employed,Oyo,315795,181713,56,Yes,223205,229646,90783,0,0,No,0,N/A,0,2828,3953,0
38,Male,Self-employed,Enugu,460023,298600,71,No,247308,323650,122221,0,0,No,0,N/A,0,5448,5183,0
27,Female,Unemployed,Cross River,36770,26006,47,No,20347,24424,7278,0,2,No,0,N/A,0,4061,500,1
26,Female,Self-employed,Edo,206919,131436,5,No,242787,79837,68758,0,0,No,0,N/A,0,5062,10504,0
44,Female,Employed,Kano,409784,329849,21,Yes,113706,192188,185621,3,2,No,0,N/A,0,2407,5503,0
24,Male,Self-employed,Abuja,275184,241872,56,No,50357,139050,135312,0,2,Yes,1508361,On-time,0,5638,6271,0
42,Male,Employed,Katsina,279986,210056,12,Yes,89355,102891,66896,1,2,No,0,N/A,0,745,11067,0
34,Male,Self-employed,Borno,329035,191827,41,No,291207,123713,48364,0,0,Yes,897651,Late,1,2789,7202,0
36,Female,Employed,Kano,404147,255378,10,Yes,286747,168365,139375,0,0,No,0,N/A,0,6226,1720,0
36,Male,Employed,Kwara,451581,388649,18,Yes,93216,302758,180622,0,1,No,0,N/A,0,6241,3427,0
38,Female,Employed,Imo,246959,142172,55,Yes,207469,175089,81317,0,0,No,0,N/A,0,8027,6686,0
25,Female,Employed,Abuja,392608,307420,38,Yes,94208,203720,89856,1,4,Yes,964238,Late,2,3455,8701,1
33,Male,Employed,Akwa Ibom,251496,186204,31,Yes,230599,133246,53895,0,1,No,0,N/A,0,3612,6620,0
18,Female,Employed,Edo,512629,407756,38,Yes,154628,327870,93632,1,2,Yes,3057401,On-time,0,780,2908,1
39,Male,Employed,Cross River,533820,343288,32,Yes,390389,236708,107168,0,1,No,0,N/A,0,3405,4097,0
39,Male,Employed,Kaduna,415261,317945,30,Yes,107393,305222,144487,0,2,No,0,N/A,0,3496,1388,0
33,Female,Employed,Abuja,389123,199887,34,Yes,273138,210496,80205,0,1,Yes,1003812,On-time,1,5227,6126,0
32,Female,Self-employed,Anambra,182873,109654,48,No,150263,97598,34456,0,0,No,0,N/A,0,3907,5342,0
31,Male,Self-employed,Katsina,245756,149496,12,No,260204,164591,55392,0,0,Yes,655805,On-time,0,6143,2845,0
27,Male,Employed,Lagos,295763,216831,27,Yes,253642,193692,85190,0,0,No,0,N/A,0,4892,5057,0
21,Female,Employed,Kwara,448954,350633,18,Yes,145240,154666,141869,3,1,Yes,2510823,Late,1,6702,500,0
33,Female,Self-employed,Kaduna,154105,114862,37,No,86160,116226,58868,0,4,No,0,N/A,0,1177,7409,0
19,Male,Self-employed,Edo,50000,47410,39,No,1009,29451,27649,2,3,No,0,N/A,0,2296,5018,1
37,Male,Employed,Ogun,319207,286714,51,Yes,12852,218459,87801,4,3,Yes,1543738,On-time,2,2731,1861,1
25,Male,Unemployed,Lagos,30607,29918,29,No,365,22966,17113,2,0,Yes,89306,Late,1,5927,4939,1
18,Male,Employed,Kano,247092,174831,25,Yes,106212,106559,38626,1,1,Yes,532457,Late,1,4837,6078,0
47,Male,Self-employed,Plateau,154429,83884,20,No,158830,116658,37423,0,0,No,0,N/A,0,5360,4586,0
18,Male,Self-employed,Oyo,261719,173333,27,No,234038,162022,56892,0,1,No,0,N/A,0,3691,2417,1
29,Male,Unemployed,Kaduna,59633,45440,58,No,55731,43745,21320,2,0,Yes,73636,Late,0,7030,6145,1
32,Female,Employed,Imo,324522,256162,59,Yes,73679,230312,88101,0,2,No,0,N/A,0,7919,6351,0
20,Female,Self-employed,Oyo,50000,44537,46,No,39357,22453,11160,3,0,Yes,260638,On-time,0,6814,1374,0
28,Female,Employed,Anambra,256066,154493,37,Yes,219963,132648,77164,0,0,Yes,1316083,On-time,0,4330,853,1
33,Female,Employed,Borno,192316,103724,5,Yes,114184,148747,30731,0,0,No,0,N/A,0,3545,4574,0
22,Male,Employed,Cross River,445640,261325,38,Yes,316186,142337,71788,0,1,No,0,N/A,0,5009,6879,0
30,Male,Self-employed,Cross River,145730,81990,25,No,228803,64097,22679,0,0,Yes,513161,On-time,0,3233,6625,0
22,Female,Self-employed,Borno,339619,293213,59,No,94587,236487,129459,2,2,Yes,1177359,On-time,2,1888,3938,1
45,Male,Employed,Kaduna,603378,476153,60,Yes,169850,260951,180677,0,1,Yes,2225536,Late,2,6252,6946,0
18,Female,Employed,Plateau,567688,485421,23,Yes,33120,308561,267613,2,1,No,0,N/A,0,5541,5146,0
34,Male,Self-employed,Kwara,317784,178512,31,No,321202,240057,103059,0,0,Yes,1144388,On-time,0,6175,7074,0
21,Male,Employed,Kwara,349582,188323,27,Yes,214185,168681,70239,0,0,No,0,N/A,0,2663,5580,0
19,Male,Employed,Katsina,635040,405903,50,Yes,382030,297074,205404,0,0,Yes,2009162,On-time,0,8376,4298,0
35,Male,Employed,Plateau,383662,204022,42,Yes,263850,228755,108994,0,1,No,0,N/A,0,1112,7060,0
40,Female,Employed,Enugu,592971,640154,25,Yes,0,234602,260444,2,5,Yes,3285307,Late,2,5319,10299,1
24,Female,Employed,Kano,273351,141490,5,Yes,201926,126357,81788,1,1,No,0,N/A,0,3359,500,1
33,Male,Self-employed,Katsina,588863,422046,33,Yes,299543,373649,105728,0,0,No,0,N/A,0,2519,7594,0
32,Male,Self-employed,Borno,139132,84976,45,No,185362,95303,20528,0,0,Yes,808611,On-time,1,3361,6628,0
18,Male,Employed,Kwara,80000,51619,29,Yes,179761,40437,23315,0,2,No,0,N/A,0,6144,8036,0
28,Male,Unemployed,Ogun,56804,60877,10,No,0,38334,14533,3,0,Yes,192013,Late,3,4014,564,1
42,Male,Self-employed,Akwa Ibom,404906,225542,45,No,365364,241439,79383,0,1,Yes,1421089,On-time,0,6359,11210,0
23,Male,Unemployed,Bauchi,73532,59439,27,No,24991,50228,34057,0,1,Yes,421818,On-time,0,2097,3974,0
34,Male,Unemployed,Enugu,43074,25663,12,No,180450,22749,6885,0,0,No,0,N/A,0,4136,500,0
30,Female,Self-employed,Bauchi,587985,637626,42,No,0,454534,189940,0,2,Yes,974777,Late,4,5258,4055,1
42,Male,Employed,Delta,261375,166226,33,Yes,176088,140284,74015,0,1,No,0,N/A,0,4747,7554,0
36,Female,Employed,Oyo,80000,40941,39,Yes,179397,58510,10855,0,2,Yes,404965,On-time,0,4900,4214,0
21,Male,Employed,Ogun,284918,160714,60,Yes,178478,180916,32168,1,0,Yes,1432982,On-time,0,3359,500,0
42,Female,Self-employed,Borno,298315,150905,40,No,244841,220008,48377,0,0,No,0,N/A,0,4425,3998,0
22,Male,Self-employed,Abuja,55766,44658,42,No,40627,24634,25873,0,0,No,0,N/A,0,4980,7264,0
18,Male,Employed,Bauchi,80000,52787,31,Yes,70439,41212,16357,0,0,No,0,N/A,0,5933,2971,0
47,Female,Unemployed,Plateau,42404,46531,32,No,0,26606,17546,3,3,Yes,243593,Late,0,4410,500,1
38,Male,Employed,Bauchi,454638,248816,22,Yes,329050,185320,135517,0,0,Yes,2596404,On-time,0,500,5820,0
34,Female,Self-employed,Ogun,402173,381690,35,No,13251,219048,154596,0,2,Yes,940630,On-time,3,748,500,1
28,Female,Self-employed,Imo,228729,142743,33,No,203989,87882,71968,0,0,No,0,N/A,0,4590,4285,0
25,Female,Unemployed,Edo,95315,75873,37,No,41236,52101,32750,0,1,Yes,185424,On-time,2,4584,7017,1
32,Female,Employed,Rivers,208120,108154,38,Yes,214881,104349,47103,0,1,Yes,300964,On-time,0,1500,4204,0
33,Female,Employed,Oyo,182776,95716,52,Yes,282716,80993,35369,0,0,No,0,N/A,0,3781,5103,0
18,Male,Employed,Delta,314532,170043,33,Yes,325595,202247,51006,0,0,No,0,N/A,0,4368,3739,0
37,Female,Unemployed,Osun,23169,15463,26,No,202426,8986,6785,0,0,No,0,N/A,0,1012,500,1
20,Male,Employed,Plateau,789090,600459,20,Yes,201812,270622,291611,0,3,No,0,N/A,0,5224,2064,0
27,Male,Employed,Delta,80000,42012,27,Yes,113721,50549,19590,0,0,No,0,N/A,0,3330,500,0
35,Male,Employed,Lagos,251429,143289,24,Yes,151073,155793,32964,0,1,Yes,420140,On-time,0,1280,8683,0
26,Male,Employed,Lagos,467595,247389,15,Yes,336759,242482,75985,0,0,Yes,1879743,On-time,1,1042,10016,0
19,Female,Unemployed,Abuja,10000,10000,29,No,86293,4867,3534,0,1,No,0,N/A,0,4901,8020,0
24,Male,Employed,Plateau,355631,213223,51,Yes,251898,225366,43733,0,0,No,0,N/A,0,3696,8180,0
30,Female,Self-employed,Kano,248295,149203,5,Yes,241250,126741,87219,0,0,No,0,N/A,0,6515,6218,0
33,Female,Self-employed,Ogun,423613,303001,6,No,154712,142455,163659,0,0,Yes,874443,On-time,0,5011,10972,0
24,Female,Employed,Imo,332645,254602,44,Yes,110344,254548,136153,0,0,Yes,1988358,On-time,2,6361,6209,0
21,Male,Employed,Osun,365437,233911,5,Yes,282676,174467,104107,0,1,No,0,N/A,0,6489,11694,0
33,Female,Self-employed,Anambra,280199,198972,11,No,227459,194603,67728,0,0,Yes,847116,On-time,1,1526,3719,0
32,Male,Self-employed,Osun,406551,274822,27,No,321950,205090,127733,1,0,Yes,1351486,On-time,0,2374,11315,0
22,Male,Employed,Borno,555211,470321,36,Yes,119760,198040,229632,2,0,Yes,1944085,Late,1,3782,3865,1
25,Male,Employed,Plateau,393942,267327,16,Yes,311610,257144,125299,0,1,No,0,N/A,0,4188,1890,0
34,Female,Employed,Edo,374823,194362,61,Yes,235023,269872,95230,0,1,No,0,N/A,0,5877,1330,0
20,Male,Self-employed,Akwa Ibom,228715,152681,44,No,129856,140064,51084,0,0,No,0,N/A,0,2671,1918,0
49,Female,Employed,Edo,80000,54888,26,Yes,219931,41521,29881,0,2,Yes,306345,On-time,0,4958,2416,0
40,Male,Employed,Osun,327898,237822,49,Yes,245196,178475,104948,0,2,No,0,N/A,0,3364,5349,0
26,Female,Employed,Borno,80000,76765,26,Yes,1395,30588,36513,0,4,Yes,285828,Late,0,2768,1928,1
42,Female,Employed,Osun,438295,301690,45,Yes,285543,278182,117899,2,0,No,0,N/A,0,3290,5328,0
39,Female,Self-employed,Kaduna,50000,28467,35,No,157237,32320,15610,0,0,No,0,N/A,0,6367,2924,0
24,Male,Employed,Rivers,614907,396288,76,Yes,373495,481069,90918,0,0,No,0,N/A,0,8642,6810,0
37,Female,Employed,Abuja,464250,268302,47,Yes,271071,333758,61425,0,0,No,0,N/A,0,3317,6603,0
44,Female,Self-employed,Akwa Ibom,129802,108761,61,No,41520,56934,65112,2,3,Yes,617072,Late,3,1326,9009,1
32,Male,Employed,Borno,533194,376800,37,Yes,177897,223160,142772,0,2,Yes,726147,On-time,0,3728,7316,0
33,Female,Self-employed,Katsina,351720,311247,38,No,14087,180181,178491,0,3,Yes,1305561,On-time,4,1713,5262,1
25,Female,Employed,Kaduna,261821,214889,38,Yes,59308,174890,68870,0,3,Yes,868448,Late,0,1653,6064,1
35,Female,Employed,Anambra,206916,139053,41,Yes,110936,106081,41560,0,0,No,0,N/A,0,2307,7649,0
32,Female,Self-employed,Borno,243427,165123,23,No,217000,149062,51686,0,0,No,0,N/A,0,2353,4241,0
18,Female,Employed,Imo,199422,115886,47,Yes,163694,62393,38986,0,0,No,0,N/A,0,4056,5065,1
42,Female,Employed,Kwara,80000,70787,32,Yes,15310,47256,29700,2,1,No,0,N/A,0,3273,701,1
34,Male,Employed,Rivers,276651,156548,25,Yes,146910,100016,93074,0,0,No,0,N/A,0,2565,3966,0
18,Female,Employed,Abuja,284062,143515,44,Yes,200703,93245,34638,0,0,No,0,N/A,0,1035,3872,1
24,Male,Employed,Imo,80000,47622,48,Yes,126511,53103,18127,0,0,Yes,422691,On-time,0,3676,6315,0
33,Male,Self-employed,Bauchi,211331,156647,15,No,99129,80124,59880,0,4,Yes,851346,Late,3,2138,9582,1
39,Male,Employed,Plateau,240935,148457,33,Yes,260210,146312,79107,0,0,No,0,N/A,0,1920,4951,0
21,Female,Self-employed,Akwa Ibom,272754,165092,6,No,201556,113376,42023,0,1,No,0,N/A,0,1049,8067,0
27,Male,Employed,Lagos,363235,230980,49,Yes,269935,179265,105994,0,0,No,0,N/A,0,8319,500,0
35,Female,Employed,Bauchi,109217,65534,21,Yes,90772,60264,34120,0,1,No,0,N/A,0,3073,500,0
30,Male,Unemployed,Oyo,10000,10712,33,No,0,4105,3295,5,3,Yes,50156,Late,2,4582,3909,1
25,Female,Self-employed,Anambra,240079,193863,49,No,53434,72305,57755,2,3,Yes,1057047,Late,0,7534,1807,1
22,Female,Employed,Borno,448843,391704,28,Yes,96902,172542,207101,0,0,No,0,N/A,0,5010,9219,0
43,Male,Employed,Kano,354088,228852,19,Yes,209917,190385,79046,0,0,Yes,1488950,On-time,0,1993,4005,0
39,Female,Employed,Edo,326324,240681,39,Yes,117030,196286,53636,0,0,No,0,N/A,0,4146,7906,0
23,Female,Self-employed,Borno,214777,189485,46,No,13511,128684,40244,4,1,Yes,509983,Late,1,3844,3631,1
23,Female,Employed,Delta,355470,191398,48,Yes,349982,241269,94298,0,0,Yes,1615932,On-time,0,2811,3151,0
24,Female,Self-employed,Kaduna,540787,376381,30,No,265993,376439,201532,0,0,No,0,N/A,0,1618,7036,0
33,Male,Employed,Cross River,297984,164600,26,No,235343,224745,39798,1,1,Yes,1371125,On-time,0,2767,5856,1
40,Female,Self-employed,Kaduna,514286,386472,24,Yes,164021,164497,207057,3,2,Yes,1666725,On-time,1,1520,6823,1
28,Female,Employed,Rivers,698704,429061,27,Yes,450579,383542,230287,1,1,No,0,N/A,0,3224,8918,0
29,Male,Employed,Abuja,272472,219309,44,Yes,94437,129897,100198,0,1,Yes,607110,Late,1,4355,4292,0
34,Female,Unemployed,Kaduna,47940,42887,48,No,54141,20812,9280,0,1,No,0,N/A,0,3135,10422,0
31,Female,Self-employed,Lagos,455205,354844,44,No,120495,189930,139190,1,2,No,0,N/A,0,8181,7466,0
43,Male,Employed,Anambra,260050,211715,5,Yes,72936,131955,104394,1,0,Yes,1151860,On-time,1,2974,7049,1
48,Male,Self-employed,Abuja,235659,179750,5,No,67291,95889,43536,0,1,Yes,1040516,Late,1,4791,5423,1
35,Male,Employed,Lagos,354390,312240,41,Yes,50886,140170,117496,0,1,Yes,1390549,On-time,2,2969,4620,0
24,Male,Unemployed,Abuja,59268,61376,13,No,0,32586,19768,3,5,No,0,N/A,0,819,3006,1
34,Female,Employed,Katsina,367524,210406,15,Yes,290320,131929,97202,0,0,Yes,888115,Late,0,5475,2882,0
21,Female,Employed,Delta,572344,295263,19,Yes,368405,447520,122709,1,1,Yes,1396174,On-time,0,4729,2959,0
20,Female,Self-employed,Enugu,368460,342753,31,No,10954,208957,181494,2,2,Yes,558487,Late,2,5144,2418,1
36,Male,Employed,Kwara,317584,252856,19,Yes,86662,152946,55857,0,1,No,0,N/A,0,2742,10487,0
18,Male,Employed,Lagos,340455,258640,56,Yes,115529,151187,76144,0,1,Yes,1583991,Late,3,2467,3616,1
37,Female,Employed,Imo,309073,237059,49,Yes,86341,151105,77440,0,4,Yes,1355754,Late,0,5234,500,0
32,Female,Employed,Edo,576879,325228,18,Yes,294517,189947,104777,0,0,Yes,1031635,On-time,1,5061,3009,0
18,Female,Self-employed,Oyo,303286,194317,5,No,185375,135736,95868,0,0,Yes,1624516,On-time,0,3431,7260,0
39,Male,Unemployed,Katsina,67132,65875,20,No,504,35307,34174,2,1,Yes,265314,On-time,2,4216,2280,1
38,Male,Unemployed,Kaduna,29217,30021,40,No,0,9121,10948,0,2,Yes,77856,Late,2,1790,6977,1
42,Male,Employed,Plateau,159696,114176,61,Yes,110846,126242,50863,0,1,No,0,N/A,0,5136,2911,0
18,Male,Self-employed,Imo,93059,49041,54,No,76554,55320,20021,1,0,No,0,N/A,0,4136,10101,1
28,Male,Self-employed,Lagos,441194,383600,8,No,82451,136319,88152,1,4,No,0,N/A,0,5002,5033,1
24,Female,Self-employed,Imo,383904,333339,25,No,83361,238869,70446,3,1,Yes,1974284,Late,1,2628,7460,1
19,Female,Unemployed,Imo,44501,42481,19,No,1119,23958,13095,4,1,No,0,N/A,0,4164,3892,1
30,Male,Self-employed,Delta,350417,305407,43,No,72284,128065,146133,0,0,Yes,711475,Late,0,2569,4710,1
43,Female,Employed,Cross River,599383,493825,31,Yes,146696,309223,253985,1,0,Yes,1985326,On-time,2,3956,7121,1
40,Female,Self-employed,Edo,319310,234999,54,No,110360,250350,117780,0,3,Yes,1614371,Late,1,3929,3467,1
29,Female,Employed,Akwa Ibom,142785,82717,38,Yes,130815,80734,18253,0,0,Yes,255967,On-time,0,3424,5735,0
36,Male,Employed,Akwa Ibom,589126,360446,36,Yes,390855,358879,88395,1,0,Yes,1049620,On-time,1,500,1273,0
31,Female,Self-employed,Edo,74577,55587,29,No,49887,38162,22566,1,1,Yes,138220,On-time,2,5825,6265,1
41,Female,Employed,Imo,228541,148895,37,Yes,115779,178174,72402,0,0,Yes,1129175,On-time,0,5446,9936,0
24,Male,Employed,Delta,349809,256369,44,Yes,218439,199108,97879,0,2,No,0,N/A,0,4122,500,0
28,Female,Self-employed,Katsina,83757,59433,32,No,64217,49026,29970,0,1,Yes,146517,On-time,0,863,6371,0
32,Female,Unemployed,Ogun,37189,33461,29,No,2213,12347,18235,3,2,Yes,215975,Late,2,3371,500,1
34,Male,Employed,Osun,113055,62373,26,Yes,188406,57444,16956,0,0,Yes,502591,On-time,0,6212,5602,0
33,Female,Self-employed,Borno,145105,148544,40,Yes,0,112092,38123,4,1,Yes,611496,On-time,5,4932,4638,1
21,Female,Self-employed,Osun,230103,241811,42,No,0,98100,90609,3,4,Yes,828578,On-time,3,2560,2227,1
33,Female,Self-employed,Enugu,349434,250558,45,No,133130,219035,145947,0,1,Yes,354711,Late,1,4287,4745,1
21,Female,Employed,Kaduna,309755,194671,37,Yes,176768,120993,102031,0,1,No,0,N/A,0,3809,1665,0
36,Male,Self-employed,Plateau,148678,137873,8,No,4757,116877,36032,0,2,Yes,693826,Late,1,3524,6399,0
22,Female,Employed,Borno,499558,289658,51,Yes,275296,388635,164908,0,0,Yes,1641838,On-time,1,3673,8557,0
18,Male,Self-employed,Osun,498962,351519,5,No,172428,344622,165923,1,2,Yes,2083558,On-time,1,6868,5854,0
20,Male,Employed,Rivers,507259,327924,33,Yes,320689,356162,152045,2,0,Yes,1516843,On-time,0,6824,5190,0
